pm_note_count,pm_length_seconds,pm_pitch_range_min_note,pm_pitch_range_max_note,muspy_n_pitches_used,muspy_n_pitch_classes_used,theory_conjuction_melody_motion,pm_average_pitch_hz,muspy_pitch_entropy,muspy_pitch_class_entropy,pm_interval_range_min,pm_interval_range_max,pm_groove,pm_average_polyphony,pm_max_polyphony,pm_note_density,metadata_index
36.0,16.0,57.0,81.0,15.0,7.0,11.742857142857142,476.9689500333268,3.745363542688304,2.6688388898504303,-20.0,12.0,0.5221619109284876,1.875,2.0,2.25,0
72.0,24.0,41.0,67.0,13.0,7.0,5.943661971830986,254.41607549513648,3.3391814246627973,2.734994264114884,-16.0,16.0,0.2138921485702456,1.1666666666666667,2.0,3.0,1
128.0,12.8,71.0,89.0,10.0,6.0,4.929133858267717,914.6820344634116,2.9968681823758354,2.449687713490619,-9.0,5.0,5.112242266692953e-16,1.0,1.0,10.0,2
27.0,17.454559999999997,62.0,76.0,10.0,8.0,4.846153846153846,449.192551453648,3.1578721140611075,2.851773502709611,-10.0,5.0,0.9192554080122473,3.235294117647059,4.0,1.5468737109385744,3
18.0,16.0,40.0,60.0,9.0,6.0,11.058823529411764,166.65616023474868,3.169925001442312,2.5032583347756456,-20.0,15.0,1.1764705882352942,3.0,3.0,1.125,4
128.0,16.0,67.0,91.0,14.0,7.0,4.811023622047244,956.5387353642546,3.5482833528033657,2.746144272963496,-12.0,12.0,0.0,1.125,2.0,8.0,5
88.0,17.1477415625,38.0,71.0,13.0,7.0,10.96551724137931,281.4048601081374,3.521789706736961,2.611174515627024,-31.0,24.0,0.2477879537671499,1.1176470588235294,4.0,5.131871137622296,6
4.0,7.90625,67.0,69.0,2.0,2.0,,415.99771799087466,1.0,1.0,-2.0,2.0,0.0220970869120796,1.0,1.0,0.5059288537549407,7
128.0,15.984375,74.0,89.0,10.0,7.0,5.228346456692913,959.2274916453354,2.880483644721813,2.5801823798956627,-5.0,10.0,0.0,1.0,1.0,8.007820136852395,8
160.0,12.7875,40.0,72.0,13.0,6.0,10.245283018867925,295.1065087747937,3.527567157116929,2.471596383178741,-32.0,28.0,0.0400940313220357,1.16,2.0,12.512218963831865,9
12.0,15.5,69.0,79.0,7.0,7.0,2.727272727272727,581.0005149861398,2.625814583693911,2.6258145836939115,-2.0,7.0,1.1522749686189426,1.2258064516129032,2.0,0.7741935483870968,10
128.0,12.8,76.0,92.0,10.0,7.0,1.4803149606299213,989.2722422868331,2.933518072054203,2.6385518133264285,-6.0,6.0,5.112242266692953e-16,1.0,1.0,10.0,11
12.0,7.384607999999999,65.0,76.0,7.0,7.0,5.0,498.5579633285428,2.6887218755408666,2.688721875540867,-11.0,5.0,0.8222055250215726,3.0,3.0,1.6250016250016253,12
6.0,16.0,69.0,84.0,5.0,4.0,,694.0356396490237,2.251629167387823,1.792481250360578,-7.0,12.0,1.3574735264453597,1.09375,2.0,0.375,13
16.0,16.0,38.0,62.0,12.0,7.0,7.6,175.26454340233204,3.452819531114783,2.602217001462482,-19.0,12.0,1.5284966742958042,4.0,4.0,1.0,14
76.0,15.5,36.0,60.0,12.0,7.0,8.186666666666667,170.27497745129247,3.471354487013929,2.549787381523038,-24.0,12.0,0.4,2.5806451612903225,6.0,4.903225806451613,15
