pm_note_count,pm_length_seconds,pm_pitch_range_min_freq,pm_pitch_range_min_note,pm_pitch_range_max_freq,pm_pitch_range_max_note,pm_average_pitch_hz,pm_average_velocity,pm_interval_range_min,pm_interval_range_max,pm_energy,pm_groove,pm_max_polyphony,pm_average_polyphony,pm_instrument_count,pm_note_density,pm_bar_count,pm_tempo_bpm,muspy_pitch_range,muspy_n_pitches_used,muspy_n_pitch_classes_used,muspy_polyphony,muspy_scale_consistency,muspy_pitch_entropy,muspy_pitch_class_entropy,muspy_empty_beat_rate,muspy_drum_in_pattern_rate_duple,muspy_drum_in_pattern_rate_triple,muspy_drum_pattern_consistency,muspy_groove_consistency,muspy_empty_measure_rate,theory_centricity,theory_limited_macroharmony,theory_conjuction_melody_motion,theory_general_tonality,track_id,metadata_index
36.0,16.0,220.0,57.0,880.0,81.0,476.9689500333268,101.55555555555556,-20.0,12.0,31.90690909090909,0.5221619109284876,2.0,1.875,1.0,2.25,8.0,120.0,24.0,15.0,7.0,2.0,0.9444444444444444,3.7453635426883043,2.6688388898504303,0.030303030303030276,,,,0.9989583333333333,0.030303030303030276,0.19999999999999996,0.5153012370238443,11.742857142857142,12.458158379880986,commu00001,0
72.0,24.0,87.30705785825097,41.0,391.99543598174927,67.0,254.41607549513648,26.02777777777778,-16.0,16.0,27.258181818181818,0.2138921485702456,2.0,1.1666666666666667,1.0,3.0,8.0,80.0,26.0,13.0,7.0,1.2857142857142858,1.0,3.3391814246627973,2.7349942641148837,0.0,,,,0.998828125,0.0,0.3169398907103823,1.0,5.943661971830986,7.260601862541368,commu00002,1
128.0,12.8,493.8833012561241,71.0,1396.9129257320155,89.0,914.6820344634115,125.296875,-9.0,5.0,311.32588235294185,5.112242266692953e-16,1.0,1.0,1.0,10.0,8.0,150.0,18.0,10.0,6.0,1.0,0.84375,2.9968681823758354,2.449687713490619,0.0,,,,0.9997395833333333,0.0,0.3404558404558405,0.8163068461523844,4.929133858267717,6.085896544875942,commu00003,2
27.0,17.454559999999997,293.6647679174076,62.0,659.2551138257398,76.0,449.19255145364804,45.55555555555556,-10.0,5.0,6.764994362504699,0.9192554080122473,4.0,3.235294117647059,1.0,1.5468737109385744,8.0,109.99990833340973,14.0,10.0,8.0,3.25,0.9629629629629629,3.1578721140611075,2.851773502709611,0.0,,,,0.9988932291666667,0.0,0.23958333333333331,0.9604924650732152,4.846153846153846,6.046229644560395,commu00004,3
18.0,16.0,82.4068892282175,40.0,261.6255653005986,60.0,166.65616023474868,21.333333333333332,-20.0,15.0,2.304,1.1764705882352942,3.0,3.0,1.0,1.125,4.0,60.0,20.0,9.0,6.0,3.0,1.0,3.169925001442312,2.5032583347756456,0.0,,,,0.9985677083333333,0.0,0.16666666666666666,0.36787944117144233,11.058823529411764,11.593369637249873,commu00005,4
128.0,16.0,391.99543598174927,67.0,1567.981743926997,91.0,956.5387353642546,121.53125,-12.0,12.0,373.344,0.0,2.0,1.125,1.0,8.0,8.0,120.0,24.0,14.0,7.0,1.0039138943248533,1.0,3.5482833528033657,2.746144272963496,0.0,,,,0.9997395833333333,0.0,0.282051282051282,0.9459726018095247,4.811023622047244,6.0390475059080515,commu00006,5
88.0,17.1477415625,73.41619197935188,38.0,493.8833012561241,71.0,281.4048601081374,91.47727272727273,-31.0,24.0,99.61866698444422,0.24778795376714993,4.0,1.1176470588235294,1.0,5.131871137622296,8.0,109.99990833340973,33.0,13.0,7.0,2.4444444444444446,0.9318181818181818,3.5217897067369615,2.611174515627024,0.0,,,,0.9994623655913979,0.0,0.225108225108225,0.9753719262794067,10.96551724137931,12.165997392766942,commu00007,6
4.0,7.90625,391.99543598174927,67.0,440.0,69.0,415.99771799087466,83.25,-2.0,2.0,1.0189003984063745,0.02209708691207961,1.0,1.0,1.0,0.5059288537549407,4.0,120.0,2.0,2.0,2.0,1.0099800399201597,1.0,1.0,1.0,0.0,,,,0.9990277777777777,0.0,,,,,commu00008,7
128.0,15.984375,587.3295358348151,74.0,1396.9129257320155,89.0,959.2274916453354,121.765625,-5.0,10.0,374.064,0.0,1.0,1.0,1.0,8.007820136852395,8.0,120.0,15.0,10.0,7.0,1.0,1.0,2.880483644721813,2.5801823798956627,0.0,,,,1.0,0.0,0.37250712250712265,0.7730849276000044,5.228346456692913,6.37393850680004,commu00009,8
160.0,12.787500000000001,82.4068892282175,40.0,523.2511306011972,72.0,295.1065087747937,116.8875,-32.0,28.0,363.0388235294125,0.040094031322035796,2.0,1.16,1.0,12.512218963831865,8.0,150.0,32.0,13.0,6.0,1.25,0.85,3.527567157116929,2.4715963831787415,0.0,,,,1.0,0.0,0.2583892617449665,1.0,10.245283018867925,11.503672280612891,commu00010,9
12.0,15.5,440.0,69.0,783.9908719634985,79.0,581.0005149861398,21.5,-2.0,7.0,2.573298701298701,1.1522749686189426,2.0,1.2258064516129032,1.0,0.7741935483870968,4.0,60.0,10.0,7.0,7.0,1.1160714285714286,1.0,2.625814583693911,2.6258145836939115,0.0,,,,0.9986111111111111,0.0,0.25,1.0,2.727272727272727,3.977272727272727,commu00011,10
128.0,12.8,659.2551138257398,76.0,1661.2187903197805,92.0,989.2722422868331,125.078125,-6.0,6.0,310.7823529411772,5.112242266692953e-16,1.0,1.0,1.0,10.0,8.0,150.0,16.0,10.0,7.0,1.0,0.859375,2.933518072054203,2.6385518133264285,0.0,,,,0.9997395833333333,0.0,0.31908831908831903,0.7892931470571468,1.4803149606299213,2.588696426775387,commu00012,11
