metadata_index,dim1,dim2
0,28.770538,50.53873
1,25.336607,3.0844824
2,-16.38688,49.043255
3,5.2522693,-23.550785
4,18.494074,-45.91576
5,-13.621067,47.298252
6,42.919422,0.849398
7,-43.21322,-41.79501
8,-16.692421,48.009537
9,61.719822,3.7341387
10,-27.3312,15.903966
11,-16.81499,49.775333
12,4.858836,-24.352678
13,-54.659134,-7.1603303
14,16.844831,-47.636837
15,28.708723,-34.464718
16,31.285406,51.33352
17,-17.144314,45.404564
18,14.816091,23.006382
19,7.04136,-72.87436
20,-45.879852,-6.702891
21,23.982594,46.33692
22,17.53802,-35.420616
23,-55.807285,40.19907
24,-38.077423,-34.62633
25,-48.701134,-11.601167
26,33.281128,55.794918
27,19.79912,5.30764
28,1.2540448,12.612304
29,41.62332,1.1444209
30,53.46141,-1.3463129
31,19.57575,23.938625
32,70.09538,23.63161
33,-17.16685,45.402092
34,0.696622,8.12245
35,30.306849,-4.397929
36,30.271418,54.41735
37,45.49304,2.8534586
38,24.531496,44.90502
39,25.220736,22.697874
40,-57.210114,44.183372
41,28.395319,67.7939
42,29.903934,26.760738
43,18.989994,25.928644
44,26.392761,-49.523296
45,25.926962,2.1118813
46,-48.74726,-7.1705437
47,36.31741,4.4558063
48,-22.901142,26.784542
49,-38.088493,-36.176888
50,-54.19336,35.28888
51,-43.311607,-9.757443
52,20.769638,4.993989
53,34.96513,2.0236845
54,26.787083,68.28227
55,-53.482132,39.669018
56,24.686829,-34.645412
57,30.731754,-1.4794236
58,-17.317375,48.328545
59,34.053078,51.5057
60,-11.777917,22.772245
61,-12.991123,24.46014
62,25.725489,23.167372
63,50.152275,0.64898807
64,31.496086,51.921604
65,-24.163359,15.96716
66,20.61654,-42.75131
67,43.850777,17.369038
68,-32.19841,-59.24389
69,-23.906626,3.2531145
70,-19.894869,47.672237
71,29.587568,-38.580265
72,55.40538,-3.1949186
73,-1.438888,10.854265
74,-54.586594,33.66011
75,6.0070643,-24.562529
76,-55.48828,40.276627
77,43.542088,17.03383
78,16.959713,-47.837616
79,42.6256,-1.1737646
80,-48.466763,-11.539189
81,-18.963795,21.115816
82,49.84635,3.3860395
83,11.726478,3.56576
84,-26.48367,14.3554
85,45.518036,4.9839187
86,33.8856,-0.19845013
87,-1.7915701,10.368391
88,-46.601376,-11.005549
89,-24.08643,14.039913
90,16.09267,-44.6592
91,43.090057,18.992424
92,-48.7981,-11.756788
93,36.34941,4.430056
