track_id,metadata_index,dim1,dim2
commu00001,0,27.196009,35.322735
commu00002,1,10.37962,-9.693736
commu00003,2,-20.666359,55.793613
commu00004,3,-1.8155842,-24.181143
commu00005,4,13.59756,-58.073208
commu00006,5,-17.640041,53.22063
commu00007,6,25.398283,3.7858946
commu00008,7,-36.656948,-38.53756
commu00009,8,-19.71979,52.0441
commu00010,9,-4.4267664,54.794506
commu00011,10,-38.568306,26.865604
commu00012,11,-20.756523,55.7694
commu00013,12,-1.0089371,-25.331
commu00014,13,-36.823135,-18.589739
commu00015,14,12.881909,-59.871906
commu00016,15,24.615578,-20.324537
commu00017,16,27.026377,35.42203
commu00018,17,-20.531708,50.752525
commu00019,18,20.67494,24.597456
commu00020,19,2.2562678,-60.884666
commu00021,20,-57.822433,-13.914149
commu00022,21,25.214525,28.821281
commu00023,22,22.829947,-64.85853
commu00024,23,-43.118164,18.917011
commu00025,24,-24.35972,-37.425854
commu00026,25,-36.637043,-18.233875
commu00027,26,23.080889,44.8896
commu00028,27,9.307919,4.4478126
commu00029,28,-0.9627316,31.702751
commu00030,29,28.413155,3.328897
commu00031,30,23.441315,7.5511675
commu00032,31,23.09907,33.56266
commu00033,32,-9.291263,77.27655
commu00034,33,-20.338045,50.832233
commu00035,34,-1.7493343,25.39081
commu00036,35,15.367574,-16.384377
commu00037,36,26.043367,39.17669
commu00038,37,14.318967,5.257011
commu00039,38,25.915924,37.271046
commu00040,39,24.60354,33.390717
commu00041,40,-39.28544,21.969011
commu00042,41,55.008022,33.670727
commu00043,42,41.087875,30.078384
commu00044,43,64.13246,7.2813663
commu00045,44,32.38767,-40.120403
commu00046,45,10.823433,-10.554243
commu00047,46,-18.624348,-20.205797
commu00048,47,39.660583,-10.484524
commu00049,48,-40.2064,38.764988
commu00050,49,-25.533531,-37.03124
commu00051,50,-44.6049,27.246346
commu00052,51,-18.51631,-23.219488
commu00053,52,8.818087,5.1800876
commu00054,53,15.82115,-12.466565
commu00055,54,57.97142,32.829857
commu00056,55,-43.197025,23.199524
commu00057,56,17.21789,-31.433258
commu00058,57,14.083401,-13.410964
commu00059,58,-20.507814,51.7105
commu00060,59,26.548573,38.877747
commu00061,60,-29.050997,30.977673
commu00062,61,-2.1654634,32.201824
commu00063,62,24.671993,33.251057
commu00064,63,13.921539,8.684794
commu00065,64,28.711908,36.51675
commu00066,65,-20.590382,15.799398
commu00067,66,27.184105,-36.565525
commu00068,67,75.380684,0.5831019
commu00069,68,-40.300953,-56.318855
commu00070,69,-66.38308,-52.33057
commu00071,70,-18.53065,41.891373
commu00072,71,22.227324,-21.790918
commu00073,72,24.622501,9.11216
commu00074,73,-3.297752,28.470034
commu00075,74,-55.37242,29.040697
commu00076,75,-1.9088017,-22.975477
commu00077,76,-42.470886,23.5302
commu00078,77,75.42166,0.38989812
commu00079,78,12.862804,-59.943665
commu00080,79,25.161379,3.8684127
commu00081,80,-36.66058,-18.182735
commu00082,81,-18.947515,22.400084
commu00083,82,15.846938,5.1039276
commu00084,83,17.088377,24.577122
commu00085,84,-18.315104,-23.794746
commu00086,85,1.9691011,32.27928
commu00087,86,41.978516,-8.346114
commu00088,87,-3.4599285,28.462376
commu00089,88,-18.665047,-20.063965
commu00090,89,-20.747759,13.2726145
commu00091,90,25.384438,16.468184
commu00092,91,74.09105,1.0054389
commu00093,92,-21.771852,-27.648783
commu00094,93,39.62349,-10.491344
commu00095,94,-4.3219686,54.758705
commu00096,95,-18.485184,52.868744
commu00097,96,55.143238,34.032867
commu00098,97,27.242844,-27.946402
commu00099,98,27.855907,-35.934505
commu00100,99,61.00471,33.4005
commu00101,100,47.81189,0.96775466
commu00102,101,-12.165237,-20.784039
commu00103,102,-21.192633,-26.091871
commu00104,103,-19.03485,52.276752
commu00105,104,12.120791,0.97127885
commu00106,105,-45.46604,53.868805
commu00107,106,25.14143,3.213911
commu00108,107,11.8049345,-60.869583
commu00109,108,75.35613,0.56949073
commu00110,109,10.1355715,5.255495
commu00111,110,25.43629,38.95709
commu00112,111,24.629171,16.828363
commu00113,112,-0.3607733,29.318748
commu00114,113,11.065181,-56.935143
commu00115,114,-16.599464,57.39273
commu00116,115,-3.1501162,26.129047
commu00117,116,59.96021,12.026884
commu00118,117,-40.24549,22.63463
commu00119,118,-39.369186,27.362413
commu00120,119,62.887405,-6.33439
commu00121,120,23.768385,33.622494
commu00122,121,-25.725393,31.744234
commu00123,122,-4.5207977,54.405884
commu00124,123,13.873295,-12.391745
commu00125,124,-18.897585,-22.457409
commu00126,125,22.01248,31.254955
commu00127,126,23.19447,44.88475
commu00128,127,54.684696,35.706116
commu00129,128,26.74829,-35.24394
commu00130,129,66.31465,9.524307
commu00131,130,-23.146524,-24.397018
commu00132,131,54.00508,34.839935
commu00133,132,14.668734,-14.778832
commu00134,133,-20.6629,-26.736357
commu00135,134,-23.126965,-27.45513
commu00136,135,-23.138582,45.913906
commu00137,136,-17.152048,50.246178
commu00138,137,20.16025,25.593237
commu00139,138,10.522582,18.790268
commu00140,139,25.56902,3.6315105
commu00141,140,12.166096,-59.333755
commu00142,141,-29.295536,30.66459
commu00143,142,27.647491,27.533876
commu00144,143,10.8221445,-57.915104
commu00145,144,22.839811,44.703648
