track_id,metadata_index,dim1,dim2
commu00001,0,2.552583,1.4325329
commu00002,1,0.7068399,9.740648
commu00003,2,4.181157,11.465167
commu00004,3,1.9930317,8.680806
commu00005,4,-2.352085,10.841317
commu00006,5,4.328239,11.080317
commu00007,6,2.4744651,7.4831777
commu00008,7,10.840099,6.455456
commu00009,8,4.481569,11.179839
commu00010,9,3.2838268,7.6377673
commu00011,10,8.104823,12.609596
commu00012,11,4.193357,11.481481
commu00013,12,1.9744271,8.667452
commu00014,13,13.707933,8.161947
commu00015,14,-2.43751,10.979871
commu00016,15,1.2932243,7.357061
commu00017,16,2.5719564,1.4169992
commu00018,17,4.598313,11.269105
commu00019,18,3.079635,2.446318
commu00020,19,-5.0215592,9.651051
commu00021,20,8.231957,7.859736
commu00022,21,2.5444288,1.6720207
commu00023,22,-2.6329503,10.960942
commu00024,23,10.002172,13.844092
commu00025,24,11.350419,8.2659855
commu00026,25,13.716035,8.195795
commu00027,26,2.3032472,2.2552204
commu00028,27,3.3442621,8.523798
commu00029,28,4.0321116,8.719947
commu00030,29,2.844866,7.2166095
commu00031,30,2.296344,7.5442038
commu00032,31,3.1685257,1.8175474
commu00033,32,-0.47197333,17.251207
commu00034,33,4.604579,11.239782
commu00035,34,4.4429693,8.837224
commu00036,35,0.11166078,9.666547
commu00037,36,2.162988,1.8847167
commu00038,37,1.6953814,7.7797008
commu00039,38,2.3530343,1.7923306
commu00040,39,2.982759,1.6483405
commu00041,40,10.061886,14.120544
commu00042,41,-0.22108378,-0.39757052
commu00043,42,1.2117177,0.21101443
commu00044,43,-0.7081809,2.812296
commu00045,44,0.5003544,6.9492598
commu00046,45,0.66255146,9.756745
commu00047,46,9.093249,8.1047
commu00048,47,0.46970946,9.364485
commu00049,48,7.8304577,12.089868
commu00050,49,11.396058,8.089167
commu00051,50,8.404669,12.78767
commu00052,51,9.069406,8.067338
commu00053,52,3.021768,8.181033
commu00054,53,0.37184203,9.258229
commu00055,54,-0.34596783,-0.187208
commu00056,55,10.157813,13.842232
commu00057,56,-1.4809813,10.411693
commu00058,57,0.20366365,9.504988
commu00059,58,4.6044292,11.280717
commu00060,59,2.166516,1.8408122
commu00061,60,6.815535,10.911872
commu00062,61,4.160916,9.05422
commu00063,62,2.9359112,1.6192592
commu00064,63,2.947723,7.7990117
commu00065,64,2.5344682,1.3241308
commu00066,65,7.8645024,10.302119
commu00067,66,0.7806062,6.8083167
commu00068,67,-0.07983707,-1.3122991
commu00069,68,9.554948,5.4326406
commu00070,69,9.662475,4.1808257
commu00071,70,5.776076,10.84278
commu00072,71,1.4457269,7.7022195
commu00073,72,2.1350515,7.5873313
commu00074,73,4.367616,8.8565235
commu00075,74,9.702769,12.771326
commu00076,75,2.0166504,8.674329
commu00077,76,10.174795,13.919481
commu00078,77,-0.08614375,-1.3203894
commu00079,78,-2.4546132,10.98145
commu00080,79,2.4469445,7.53822
commu00081,80,13.665672,8.179271
commu00082,81,7.4116325,9.867186
commu00083,82,1.6823559,7.7274327
commu00084,83,3.3732271,2.7735164
commu00085,84,9.087491,8.129222
commu00086,85,3.2404828,7.7290864
commu00087,86,-0.9115447,8.247009
commu00088,87,4.395219,8.851457
commu00089,88,9.162359,8.092784
commu00090,89,7.8796034,10.316955
commu00091,90,5.388276,3.1522837
commu00092,91,0.0037766264,-1.1791058
commu00093,92,11.298019,7.2089963
commu00094,93,0.38415518,9.291413
commu00095,94,3.3156476,7.6590962
commu00096,95,4.382104,11.133509
commu00097,96,-0.2609841,-0.35552648
commu00098,97,1.09252,7.312928
commu00099,98,0.88903296,6.6908407
commu00100,99,-0.3474024,0.091165066
commu00101,100,-0.91671187,10.921597
