sample_index,GHSOM_cluster,metadata_index
0,17,0
1,22,1
2,25,2
3,5,3
4,4,4
5,25,5
6,20,6
7,8,7
8,25,8
9,20,9
10,28,10
11,25,11
12,5,12
13,10,13
14,4,14
15,2,15
16,17,16
17,25,17
18,23,18
19,4,19
20,7,20
21,15,21
22,3,22
23,27,23
24,8,24
25,10,25
26,17,26
27,23,27
28,26,28
29,20,29
30,20,30
31,23,31
32,12,32
33,25,33
34,26,34
35,22,35
36,17,36
37,20,37
38,15,38
39,23,39
40,27,40
41,17,41
42,23,42
43,15,43
44,2,44
45,22,45
46,10,46
47,22,47
48,28,48
49,8,49
50,27,50
51,7,51
52,23,52
53,22,53
54,17,54
55,27,55
56,2,56
57,22,57
58,25,58
59,15,59
60,26,60
61,26,61
62,23,62
63,20,63
64,17,64
65,28,65
66,2,66
67,12,67
68,8,68
69,26,69
70,25,70
71,2,71
72,20,72
73,26,73
74,27,74
75,5,75
76,27,76
77,12,77
78,4,78
79,20,79
80,10,80
81,26,81
82,20,82
83,23,83
84,28,84
85,20,85
86,22,86
87,26,87
88,7,88
89,28,89
90,4,90
91,12,91
92,10,92
93,22,93
94,20,94
95,25,95
96,17,96
97,2,97
98,4,98
99,17,99
100,22,100
101,5,101
102,10,102
103,25,103
104,22,104
105,8,105
106,20,106
107,4,107
108,12,108
109,26,109
110,17,110
111,4,111
112,23,112
113,4,113
114,25,114
115,26,115
116,23,116
117,27,117
118,28,118
119,23,119
120,23,120
121,25,121
122,20,122
123,22,123
124,10,124
125,23,125
126,17,126
127,17,127
128,2,128
129,14,129
130,10,130
131,17,131
132,22,132
133,10,133
134,10,134
135,25,135
136,26,136
137,23,137
138,23,138
139,20,139
140,4,140
141,26,141
142,14,142
143,4,143
144,17,144
145,3,145
146,12,146
147,23,147
148,23,148
149,23,149
150,20,150
151,25,151
152,2,152
153,7,153
154,25,154
155,14,155
156,2,156
157,23,157
158,4,158
159,8,159
160,26,160
161,10,161
162,23,162
163,25,163
164,27,164
165,28,165
166,12,166
167,25,167
168,23,168
169,2,169
170,12,170
171,12,171
172,20,172
173,14,173
174,17,174
175,17,175
176,20,176
177,23,177
178,25,178
179,19,179
180,27,180
181,17,181
182,23,182
183,15,183
184,8,184
185,15,185
186,25,186
187,5,187
188,4,188
189,17,189
190,17,190
191,23,191
192,4,192
193,27,193
194,7,194
195,20,195
196,2,196
197,22,197
198,17,198
199,19,199
200,20,200
201,2,201
202,22,202
203,2,203
204,2,204
205,23,205
206,25,206
207,4,207
208,10,208
209,10,209
210,2,210
211,17,211
212,10,212
213,23,213
214,25,214
215,7,215
216,2,216
217,14,217
218,20,218
219,23,219
220,22,220
221,20,221
222,28,222
223,23,223
224,27,224
225,26,225
226,17,226
227,15,227
228,25,228
229,2,229
230,4,230
231,19,231
232,2,232
233,12,233
234,26,234
235,2,235
236,4,236
237,2,237
238,26,238
239,25,239
240,20,240
241,27,241
242,23,242
243,2,243
244,4,244
245,23,245
246,12,246
247,17,247
248,17,248
249,10,249
250,17,250
251,23,251
252,23,252
253,22,253
254,25,254
255,27,255
256,17,256
257,22,257
258,4,258
259,26,259
260,17,260
261,26,261
262,22,262
263,22,263
264,4,264
265,20,265
266,23,266
267,8,267
268,23,268
269,25,269
270,26,270
271,25,271
272,27,272
273,23,273
274,25,274
275,2,275
276,17,276
277,19,277
278,25,278
279,26,279
280,23,280
281,23,281
282,23,282
283,23,283
284,22,284
285,4,285
286,17,286
287,22,287
288,25,288
289,4,289
290,20,290
291,22,291
292,26,292
293,20,293
294,23,294
295,20,295
296,23,296
297,2,297
298,2,298
299,20,299
300,15,300
301,2,301
302,17,302
303,5,303
304,12,304
305,12,305
306,2,306
307,17,307
308,12,308
309,22,309
310,28,310
311,26,311
312,12,312
313,25,313
314,20,314
315,14,315
316,2,316
317,26,317
318,4,318
319,2,319
320,2,320
321,17,321
322,23,322
323,23,323
324,12,324
325,23,325
326,2,326
327,25,327
328,4,328
329,23,329
330,27,330
331,14,331
332,26,332
333,4,333
334,26,334
335,4,335
336,5,336
337,2,337
338,25,338
339,25,339
340,25,340
341,14,341
342,17,342
343,10,343
344,2,344
345,14,345
346,20,346
347,4,347
348,23,348
349,23,349
350,20,350
351,10,351
352,26,352
353,4,353
354,23,354
355,23,355
356,26,356
357,23,357
358,12,358
359,25,359
360,23,360
361,22,361
362,22,362
363,27,363
364,14,364
365,20,365
366,23,366
367,15,367
368,20,368
369,12,369
370,5,370
371,20,371
372,7,372
373,12,373
374,3,374
375,17,375
376,20,376
377,10,377
378,25,378
379,26,379
380,25,380
381,23,381
382,17,382
383,25,383
384,19,384
385,7,385
386,20,386
387,20,387
388,25,388
389,17,389
390,12,390
391,26,391
392,17,392
393,27,393
394,22,394
395,23,395
396,23,396
397,4,397
398,22,398
399,10,399
400,14,400
401,10,401
402,5,402
403,4,403
404,26,404
405,25,405
406,26,406
407,12,407
408,23,408
409,25,409
410,17,410
411,4,411
412,25,412
413,12,413
414,28,414
415,20,415
416,26,416
417,25,417
418,12,418
419,2,419
420,23,420
421,26,421
422,25,422
423,2,423
424,22,424
425,20,425
426,25,426
427,4,427
428,20,428
429,23,429
430,25,430
431,25,431
432,26,432
433,10,433
434,26,434
435,12,435
436,26,436
437,22,437
438,25,438
439,20,439
440,23,440
441,5,441
442,14,442
443,26,443
444,26,444
445,7,445
446,17,446
447,19,447
448,22,448
449,4,449
450,2,450
451,4,451
452,25,452
453,10,453
454,17,454
455,25,455
456,28,456
457,27,457
458,22,458
459,25,459
460,17,460
461,15,461
462,17,462
463,27,463
464,27,464
465,27,465
466,20,466
