sample_index,GHSOM_cluster,metadata_index
0,8,0
1,8,1
2,14,2
3,10,3
4,9,4
5,14,5
6,7,6
7,26,7
8,14,8
9,5,9
10,20,10
11,14,11
12,13,12
13,17,13
14,9,14
15,9,15
16,6,16
17,14,17
18,10,18
19,10,19
20,17,20
21,10,21
22,7,22
23,20,23
24,25,24
25,17,25
26,12,26
27,8,27
28,13,28
29,8,29
30,5,30
31,10,31
32,3,32
33,14,33
34,10,34
35,9,35
36,6,36
37,9,37
38,8,38
39,8,39
40,20,40
41,6,41
42,8,42
43,10,43
44,7,44
45,8,45
46,20,46
47,9,47
48,22,48
49,25,49
50,21,50
51,17,51
52,10,52
53,7,53
54,4,54
55,15,55
56,7,56
57,9,57
58,14,58
59,5,59
60,20,60
61,15,61
62,8,62
63,6,63
64,6,64
65,13,65
66,9,66
67,8,67
68,26,68
69,15,69
70,21,70
71,9,71
72,7,72
73,13,73
74,21,74
75,10,75
76,15,76
77,8,77
78,9,78
79,9,79
80,17,80
81,22,81
82,8,82
83,10,83
84,10,84
85,8,85
86,8,86
87,13,87
88,17,88
89,20,89
90,9,90
91,6,91
92,17,92
93,7,93
94,5,94
95,14,95
96,12,96
97,7,97
98,9,98
99,4,99
100,12,100
101,10,101
102,20,102
103,14,103
104,9,104
105,26,105
106,9,106
107,9,107
108,8,108
109,13,109
110,6,110
111,9,111
112,8,112
113,10,113
114,14,114
115,10,115
116,8,116
117,22,117
118,22,118
119,8,119
120,8,120
121,15,121
122,5,122
123,9,123
124,17,124
125,8,125
126,12,126
127,4,127
128,9,128
129,13,129
130,21,130
131,12,131
132,9,132
133,20,133
134,17,134
135,14,135
136,13,136
137,10,137
138,10,138
139,7,139
140,10,140
141,15,141
142,13,142
143,9,143
144,12,144
145,7,145
146,6,146
147,10,147
148,10,148
149,10,149
150,8,150
151,14,151
152,7,152
153,20,153
154,14,154
155,13,155
156,9,156
157,10,157
158,9,158
159,24,159
160,13,160
161,17,161
162,10,162
163,14,163
164,15,164
165,13,165
166,8,166
167,14,167
168,10,168
169,7,169
170,6,170
171,6,171
172,5,172
173,13,173
174,5,174
175,6,175
176,7,176
177,10,177
178,14,178
179,7,179
180,20,180
181,4,181
182,8,182
183,13,183
184,28,184
185,5,185
186,6,186
187,10,187
188,9,188
189,6,189
190,6,190
191,10,191
192,9,192
193,19,193
194,20,194
195,7,195
196,7,196
197,9,197
198,12,198
199,7,199
200,7,200
201,7,201
202,10,202
203,7,203
204,7,204
205,8,205
206,14,206
207,9,207
208,19,208
209,19,209
210,9,210
211,6,211
212,10,212
213,10,213
214,14,214
215,20,215
216,7,216
217,13,217
218,8,218
219,10,219
220,9,220
221,7,221
222,13,222
223,8,223
224,22,224
225,13,225
226,6,226
227,8,227
228,13,228
229,7,229
230,9,230
231,7,231
232,9,232
233,8,233
234,13,234
235,9,235
236,10,236
237,7,237
238,13,238
239,13,239
240,9,240
241,19,241
242,10,242
243,7,243
244,9,244
245,5,245
246,3,246
247,12,247
248,4,248
249,17,249
250,8,250
251,8,251
252,6,252
253,9,253
254,14,254
255,13,255
256,14,256
257,8,257
258,9,258
259,13,259
260,12,260
261,13,261
262,10,262
263,9,263
264,9,264
265,5,265
266,8,266
267,25,267
268,10,268
269,14,269
270,10,270
271,14,271
272,13,272
273,10,273
274,14,274
275,7,275
276,12,276
277,7,277
278,14,278
279,15,279
280,10,280
281,8,281
282,5,282
283,10,283
284,8,284
285,10,285
286,14,286
287,8,287
288,21,288
289,10,289
290,5,290
291,10,291
292,20,292
293,8,293
294,10,294
295,7,295
296,8,296
297,7,297
298,9,298
299,8,299
300,8,300
301,7,301
302,8,302
303,10,303
304,10,304
305,10,305
306,9,306
307,6,307
308,8,308
309,9,309
310,17,310
311,13,311
312,6,312
313,14,313
314,5,314
315,13,315
316,9,316
317,20,317
318,9,318
319,9,319
320,9,320
321,6,321
322,10,322
323,10,323
324,8,324
325,10,325
326,7,326
327,21,327
328,9,328
329,8,329
330,19,330
331,13,331
332,15,332
333,9,333
334,28,334
335,9,335
336,8,336
337,7,337
338,6,338
339,14,339
340,15,340
341,13,341
342,14,342
343,26,343
344,7,344
345,13,345
346,7,346
347,9,347
348,13,348
349,8,349
350,8,350
351,13,351
352,13,352
353,9,353
354,10,354
355,8,355
356,10,356
357,10,357
358,8,358
359,14,359
360,10,360
361,9,361
362,9,362
363,15,363
364,13,364
365,9,365
366,6,366
367,13,367
368,8,368
369,3,369
370,10,370
371,7,371
372,17,372
373,3,373
374,9,374
375,6,375
376,5,376
377,17,377
378,15,378
379,17,379
380,14,380
381,10,381
382,6,382
383,14,383
384,7,384
385,26,385
386,8,386
387,7,387
388,14,388
389,12,389
390,8,390
391,28,391
392,6,392
393,22,393
394,9,394
395,10,395
396,8,396
397,9,397
398,9,398
399,17,399
400,13,400
401,17,401
402,9,402
403,9,403
404,15,404
405,14,405
406,13,406
407,8,407
408,10,408
409,14,409
410,3,410
411,9,411
412,14,412
413,13,413
414,15,414
415,7,415
416,13,416
417,14,417
418,8,418
419,7,419
420,10,420
421,22,421
422,14,422
423,9,423
424,9,424
425,5,425
426,14,426
427,9,427
428,6,428
429,9,429
430,14,430
431,14,431
432,13,432
433,17,433
434,15,434
435,8,435
436,13,436
437,9,437
438,14,438
