sample_index,GHSOM_cluster,metadata_index
0,25,0
1,23,1
2,10,2
3,13,3
4,15,4
5,10,5
6,21,6
7,5,7
8,10,8
9,19,9
10,7,10
11,10,11
12,13,12
13,4,13
14,15,14
15,15,15
16,25,16
17,10,17
18,27,18
19,14,19
20,4,20
21,27,21
22,15,22
23,9,23
24,5,24
25,4,25
26,25,26
27,23,27
28,23,28
29,21,29
30,19,30
31,27,31
32,19,32
33,10,33
34,8,34
35,20,35
36,25,36
37,21,37
38,27,38
39,23,39
40,9,40
41,26,41
42,22,42
43,27,43
44,15,44
45,23,45
46,4,46
47,21,47
48,7,48
49,5,49
50,9,50
51,4,51
52,23,52
53,21,53
54,26,54
55,9,55
56,15,56
57,21,57
58,10,58
59,25,59
60,8,60
61,8,61
62,23,62
63,21,63
64,25,64
65,7,65
66,15,66
67,22,67
68,5,68
69,10,69
70,10,70
71,15,71
72,19,72
73,8,73
74,2,74
75,13,75
76,9,76
77,22,77
78,15,78
79,21,79
80,4,80
81,7,81
82,21,82
83,13,83
84,7,84
85,21,85
86,21,86
87,8,87
88,4,88
89,7,89
90,15,90
91,22,91
92,4,92
93,21,93
94,19,94
95,10,95
96,26,96
97,15,97
98,15,98
99,26,99
100,23,100
101,12,101
102,4,102
103,10,103
104,23,104
105,5,105
106,21,106
107,15,107
108,22,108
109,23,109
110,25,110
111,15,111
112,23,112
113,14,113
114,10,114
115,8,115
116,27,116
117,9,117
118,7,118
119,27,119
120,27,120
121,8,121
122,19,122
123,21,123
124,4,124
125,23,125
126,25,126
127,26,127
128,15,128
129,27,129
130,4,130
131,26,131
132,20,132
133,4,133
134,4,134
135,10,135
136,8,136
137,27,137
138,23,138
139,21,139
140,15,140
141,8,141
142,27,142
143,15,143
144,27,144
145,15,145
146,22,146
147,27,147
148,27,148
149,13,149
150,21,150
151,10,151
152,18,152
153,4,153
154,10,154
155,27,155
156,14,156
157,27,157
158,15,158
159,12,159
160,8,160
161,4,161
162,23,162
163,10,163
164,9,164
165,7,165
166,22,166
167,10,167
168,27,168
169,15,169
170,22,170
171,22,171
172,19,172
173,27,173
174,25,174
175,26,175
176,19,176
177,27,177
178,10,178
179,18,179
180,9,180
181,25,181
182,23,182
183,27,183
184,5,184
185,25,185
186,10,186
187,13,187
188,15,188
189,25,189
190,26,190
191,23,191
192,15,192
193,9,193
194,4,194
195,21,195
196,15,196
197,23,197
198,26,198
199,18,199
200,19,200
201,15,201
202,23,202
203,15,203
204,15,204
205,23,205
206,10,206
207,15,207
208,4,208
209,4,209
210,15,210
211,26,211
212,4,212
213,23,213
214,10,214
215,4,215
216,15,216
217,27,217
218,21,218
219,23,219
220,14,220
221,19,221
222,7,222
223,23,223
224,9,224
225,8,225
226,25,226
227,27,227
228,8,228
229,15,229
230,15,230
231,18,231
232,15,232
233,22,233
234,10,234
235,15,235
236,15,236
237,15,237
238,8,238
239,8,239
240,21,240
241,7,241
242,23,242
243,15,243
244,15,244
245,23,245
246,19,246
247,25,247
248,26,248
249,4,249
250,25,250
251,23,251
252,27,252
253,21,253
254,10,254
255,9,255
256,26,256
257,21,257
258,14,258
259,8,259
260,26,260
261,8,261
262,23,262
263,23,263
264,15,264
265,19,265
266,23,266
267,5,267
268,27,268
269,10,269
270,8,270
271,10,271
272,9,272
273,23,273
274,10,274
275,15,275
276,27,276
277,18,277
278,10,278
279,8,279
280,27,280
281,27,281
282,23,282
283,27,283
284,23,284
285,14,285
286,26,286
287,23,287
288,10,288
289,14,289
290,19,290
291,23,291
292,8,292
293,21,293
294,27,294
295,19,295
296,27,296
297,15,297
298,15,298
299,21,299
300,25,300
301,15,301
302,25,302
303,13,303
304,22,304
305,22,305
306,15,306
307,25,307
308,22,308
309,20,309
310,7,310
311,8,311
312,19,312
313,10,313
314,19,314
315,27,315
316,15,316
317,8,317
318,15,318
319,15,319
320,15,320
321,25,321
322,27,322
323,23,323
324,22,324
325,27,325
326,15,326
327,10,327
328,15,328
329,23,329
330,9,330
331,27,331
332,8,332
333,15,333
334,8,334
335,15,335
336,13,336
337,15,337
338,10,338
339,10,339
340,10,340
341,27,341
342,26,342
343,4,343
344,15,344
345,27,345
346,19,346
347,15,347
348,23,348
349,23,349
350,19,350
351,4,351
352,8,352
353,15,353
354,23,354
355,23,355
356,8,356
357,23,357
358,22,358
359,10,359
360,27,360
361,20,361
362,21,362
363,9,363
364,27,364
365,21,365
366,27,366
367,27,367
368,21,368
369,22,369
370,12,370
371,19,371
372,5,372
373,22,373
374,15,374
375,25,375
376,19,376
377,4,377
378,7,378
379,4,379
380,10,380
381,23,381
382,25,382
383,10,383
384,18,384
385,4,385
386,19,386
387,21,387
388,10,388
389,25,389
390,22,390
391,4,391
