metadata_index,dim1,dim2
0,21.46787,34.66605
1,18.581398,2.9352758
2,-15.319735,32.21016
3,5.639364,-19.142654
4,17.898191,-32.701324
5,-12.806849,32.15348
6,30.778837,1.4287721
7,-44.378525,-28.535566
8,-15.029507,31.710936
9,46.108715,4.8095236
10,-25.375732,7.690311
11,-16.098795,32.2331
12,6.0053806,-19.199049
13,-34.277374,-4.501522
14,17.56855,-33.85933
15,24.26435,-25.130602
16,23.406574,35.165955
17,-15.334768,30.138477
18,13.45167,26.994207
19,10.759302,-55.894062
20,-26.657084,-1.7158837
21,15.965956,29.097166
22,21.284403,-34.740513
23,-45.20448,29.989304
24,-32.93202,-26.00685
25,-31.303974,-4.2431145
26,25.323534,37.74643
27,13.556035,4.228712
28,0.18588012,8.732242
29,30.054977,1.2937624
30,42.7394,0.2532409
31,15.999167,24.352222
32,54.39208,15.575834
33,-15.362987,30.134336
34,-0.55312175,5.354913
35,21.908215,-3.465106
36,22.460094,36.392757
37,32.85,2.094297
38,18.326244,31.011917
39,20.327831,22.22509
40,-45.662357,32.913445
41,24.57443,47.303497
42,25.054087,24.066353
43,15.144713,24.48686
44,22.352804,-35.23941
45,18.99925,1.9301134
46,-29.411098,-0.63380784
47,26.249914,5.654576
48,-22.44721,16.852615
49,-33.149265,-27.103819
50,-46.140144,26.118555
51,-27.15196,-3.436812
52,14.41063,3.7184587
53,24.722193,-1.6422247
54,24.563961,49.20639
55,-43.98539,28.79324
56,28.202244,-24.185146
57,22.690094,-1.3180325
58,-15.523247,31.601452
59,25.444273,30.663385
60,-13.973019,14.6893015
61,-14.81058,14.86361
62,20.7193,22.010422
63,30.086048,4.387155
64,23.27237,35.888725
65,-23.393568,8.228409
66,19.360332,-30.989956
67,31.41663,14.279689
68,-45.547157,-40.8469
69,-19.281437,20.073776
70,-16.847254,29.97431
71,24.834345,-27.300325
72,44.46555,-0.17509791
73,-1.9091123,7.678543
74,-47.09326,24.388992
75,6.650546,-19.83053
76,-45.07018,29.678247
77,31.305351,14.017221
78,17.733055,-33.942265
79,27.363531,0.43284297
80,-31.089478,-4.0503893
81,-20.432848,12.811089
82,36.466286,2.929526
83,6.464075,-5.028503
84,-24.52728,6.0066934
85,32.7264,3.9102774
86,25.438465,-1.9534156
87,-2.1511085,7.4432926
88,-29.670702,-3.8700314
