sample_index,GHSOM_cluster,metadata_index
0,3,0
1,9,1
2,5,2
3,8,3
4,8,4
5,5,5
6,9,6
7,13,7
8,5,8
9,2,9
10,19,10
11,5,11
12,8,12
13,15,13
14,8,14
15,10,15
16,2,16
17,5,17
18,20,18
19,8,19
20,16,20
21,3,21
22,8,22
23,19,23
24,16,24
25,16,25
26,3,26
27,9,27
28,5,28
29,9,29
30,9,30
31,9,31
32,2,32
33,19,33
34,9,34
35,9,35
36,2,36
37,9,37
38,3,38
39,9,39
40,19,40
41,2,41
42,4,42
43,9,43
44,8,44
45,9,45
46,16,46
47,9,47
48,19,48
49,16,49
50,19,50
51,16,51
52,9,52
53,9,53
54,2,54
55,19,55
56,10,56
57,9,57
58,5,58
59,4,59
60,19,60
61,19,61
62,9,62
63,9,63
64,2,64
65,19,65
66,8,66
67,9,67
68,20,68
69,19,69
70,5,70
71,10,71
72,10,72
73,5,73
74,19,74
75,8,75
76,19,76
77,9,77
78,8,78
79,9,79
80,16,80
81,19,81
82,9,82
83,20,83
84,19,84
85,9,85
86,9,86
87,5,87
88,16,88
89,19,89
90,8,90
91,9,91
92,15,92
93,9,93
94,2,94
95,5,95
96,2,96
97,10,97
98,8,98
99,2,99
100,9,100
101,20,101
102,16,102
103,5,103
104,9,104
105,13,105
106,9,106
107,8,107
108,9,108
109,5,109
110,2,110
111,8,111
112,9,112
113,8,113
114,5,114
115,5,115
116,4,116
117,19,117
118,19,118
119,9,119
120,9,120
121,19,121
122,2,122
123,9,123
124,16,124
125,9,125
126,3,126
127,2,127
128,8,128
129,3,129
130,15,130
131,2,131
132,9,132
133,16,133
134,16,134
135,5,135
136,5,136
137,20,137
138,9,138
139,9,139
140,8,140
141,19,141
142,3,142
143,8,143
144,3,144
145,10,145
146,9,146
147,20,147
148,20,148
149,20,149
150,9,150
151,5,151
152,10,152
153,16,153
154,5,154
155,3,155
156,8,156
157,9,157
158,8,158
159,20,159
160,5,160
161,16,161
162,9,162
163,5,163
164,19,164
165,19,165
166,9,166
167,5,167
168,9,168
169,10,169
170,9,170
171,9,171
172,9,172
173,3,173
174,2,174
175,2,175
176,10,176
177,20,177
178,19,178
179,10,179
180,19,180
181,2,181
182,9,182
183,3,183
184,13,184
185,4,185
186,5,186
187,8,187
188,8,188
189,3,189
190,3,190
191,9,191
192,8,192
193,19,193
194,16,194
195,9,195
196,10,196
197,9,197
198,3,198
199,10,199
200,9,200
201,10,201
202,9,202
203,8,203
204,10,204
205,9,205
206,5,206
207,8,207
208,15,208
209,15,209
210,8,210
211,2,211
212,16,212
213,9,213
214,5,214
215,16,215
216,10,216
217,3,217
218,9,218
219,9,219
220,9,220
221,9,221
222,19,222
223,9,223
224,19,224
225,5,225
226,2,226
227,3,227
228,19,228
229,10,229
230,8,230
231,10,231
232,8,232
233,9,233
234,19,234
235,8,235
236,8,236
237,10,237
238,5,238
239,19,239
240,9,240
241,19,241
242,9,242
243,10,243
244,8,244
245,10,245
246,2,246
247,3,247
248,2,248
249,16,249
250,2,250
251,9,251
252,9,252
253,9,253
254,5,254
255,19,255
256,2,256
257,9,257
258,8,258
259,5,259
260,2,260
261,5,261
262,9,262
263,9,263
264,8,264
265,2,265
266,9,266
267,16,267
268,20,268
269,5,269
270,9,270
271,5,271
272,19,272
273,9,273
274,5,274
275,10,275
276,3,276
277,10,277
278,19,278
279,19,279
280,9,280
281,9,281
282,10,282
283,20,283
284,9,284
285,8,285
286,3,286
287,9,287
288,5,288
289,8,289
290,2,290
291,9,291
292,19,292
293,9,293
294,9,294
295,9,295
296,9,296
297,10,297
298,8,298
299,9,299
300,3,300
301,10,301
302,2,302
303,8,303
304,9,304
305,9,305
306,10,306
307,2,307
308,9,308
309,9,309
310,19,310
311,5,311
312,3,312
313,5,313
314,9,314
315,3,315
316,8,316
317,19,317
318,8,318
319,8,319
