metadata_index,dim1,dim2
0,9.171799,2.654974
1,10.362793,9.867575
2,2.6877308,3.6189265
3,7.169708,13.575842
4,8.194702,13.934156
5,2.6077409,3.6281881
6,10.125114,10.558519
7,-2.2402632,13.154158
8,2.666714,3.66894
9,13.461914,1.2933819
10,1.4856678,6.576091
11,2.7213213,3.5209482
12,7.0758834,13.554553
13,-0.97769016,10.539959
14,7.8527803,14.426354
15,9.917898,11.60569
16,9.434463,2.460165
17,2.5903156,3.9907613
18,4.5312233,13.759471
19,7.769427,15.716998
20,-0.013746704,10.637617
21,8.721606,2.7615912
22,8.747981,13.377481
23,0.22625236,4.5786853
24,1.1922084,11.778261
25,-0.5239915,10.836047
26,9.278905,2.6688926
27,9.66358,9.651649
28,4.4902945,8.14968
29,10.018685,10.400903
30,10.440883,11.1309185
31,11.034589,6.7758365
32,13.005202,1.3578299
33,2.5305061,4.0465183
34,9.325768,9.579993
35,11.4783325,10.279795
36,9.481737,2.7113826
37,9.95081,10.48636
38,8.960867,2.6299722
39,11.374691,6.3490524
40,-0.2026524,4.228566
41,10.434236,3.121863
42,10.92261,5.8275867
43,10.8926,6.7473383
44,8.955549,13.683294
45,10.481174,9.930812
46,-0.12895982,10.560584
47,10.77424,10.449685
48,1.2921184,5.290644
49,-0.07759528,12.808849
50,-0.14945781,4.8477006
51,-0.15099801,10.818701
52,9.804128,9.747761
53,10.874683,10.648558
54,10.314761,3.3045523
55,0.21518123,4.54963
56,9.656051,12.143831
57,11.232119,10.220138
58,2.706633,3.7024379
59,11.064283,5.605629
60,1.9244457,5.1756687
61,1.9313345,5.2418747
62,11.424488,6.321869
63,10.176625,10.587755
64,9.530018,2.5296328
65,1.5484558,6.50587
66,8.8245,13.631179
67,10.246647,7.62897
68,2.326816,14.729892
69,-1.231522,4.378512
70,2.6407871,3.7926579
71,10.027155,11.865148
72,10.5040865,11.466849
73,4.2951446,8.352702
74,-0.353249,5.4164524
75,7.2321076,13.533355
76,0.27001563,4.549636
77,10.243694,7.627517
78,7.8401566,14.451824
79,9.941347,11.256429
80,-0.5314211,10.811929
81,1.8290492,5.8014984
82,9.948541,10.872647
83,3.9768605,13.515454
84,1.6115366,6.5883837
85,9.892701,10.3509655
86,10.734841,10.396705
87,4.3079896,8.369253
88,-0.34526744,10.852826
89,1.5786773,6.644787
90,7.8480206,14.1154375
91,10.168404,7.3074307
92,-0.57930225,10.835368
93,10.770798,10.4984255
94,13.443037,1.2993206
95,2.6686864,3.590408
96,10.403934,3.1767023
97,10.03085,12.291052
98,8.767685,13.717975
99,10.298826,3.407251
100,9.28237,11.251571
101,3.968271,13.524169
102,-0.2082675,10.527503
103,2.6909103,3.7354288
104,9.731038,10.09494
105,-2.4731386,13.160038
106,9.965062,10.818603
107,7.8278303,14.486274
108,10.241251,7.626598
109,4.529459,8.178382
110,9.41427,2.6108284
111,7.820073,14.116886
112,9.663885,9.728769
113,7.727175,14.35314
114,2.753445,3.4069755
115,4.214914,8.475821
116,10.927302,6.387036
117,-0.15186642,4.2714
118,1.5415971,5.9559646
119,11.057323,6.747149
120,11.073231,6.658188
121,1.7689371,5.0727644
122,13.437468,1.318278
123,10.82102,10.381203
124,-0.3964894,10.846978
125,11.414386,6.3942723
126,9.274359,2.639363
127,10.268291,3.3730445
128,8.951261,13.511379
129,8.117353,3.6962078
130,-0.9443166,10.636573
131,10.019594,3.3042543
132,11.412284,10.17451
133,-0.08645642,10.554198
134,-0.3904492,10.853111
135,2.6473086,3.6883333
136,2.7010338,4.238622
137,4.549099,13.77389
138,9.872136,9.745218
139,10.079782,10.477092
140,7.753669,14.409886
141,1.9699806,5.292988
142,8.389238,3.005622
143,7.9019194,13.98655
144,9.264394,2.6026337
145,9.469938,12.317913
146,10.23943,7.6276007
147,4.578493,13.758887
148,4.561583,13.776471
149,3.9938617,13.515063
150,9.895207,10.349695
151,2.614208,3.7630463
152,11.407354,12.883569
153,-0.25654614,10.748461
154,2.7137423,3.4583657
