,pm_note_count,pm_length_seconds,pm_pitch_range_min_freq,pm_pitch_range_min_note,pm_pitch_range_max_freq,pm_pitch_range_max_note,pm_average_pitch_hz,pm_average_velocity,pm_interval_range_min,pm_interval_range_max,pm_energy,pm_groove,pm_max_polyphony,pm_average_polyphony,pm_instrument_count,pm_note_density,pm_bar_count,pm_tempo_bpm,muspy_pitch_range,muspy_n_pitches_used,muspy_n_pitch_classes_used,muspy_polyphony,muspy_scale_consistency,muspy_pitch_entropy,muspy_pitch_class_entropy,muspy_empty_beat_rate,muspy_drum_in_pattern_rate_duple,muspy_drum_in_pattern_rate_triple,muspy_drum_pattern_consistency,muspy_groove_consistency,muspy_empty_measure_rate,theory_centricity,theory_limited_macroharmony,theory_conjuction_melody_motion,theory_general_tonality
pm_note_count,1.0,0.1790152678659859,-0.06323012112701212,-0.0800148629223398,0.036857247310488735,0.05934548520998113,-0.01422947478109121,0.12286302053360439,-0.20147921871430197,0.1426631258048983,0.9365266242537672,-0.1228629276942537,0.2183417241785915,0.11907310563316745,,0.9438735589099463,0.14721478560748993,0.010916228326996649,0.18205311858629558,0.20012664603083824,0.10671859848093977,0.17217376181601313,-0.004864123260515069,0.13797503872552117,0.06634860104333103,-0.15349242147166425,,,,-0.2139948888542566,-0.15349242147166425,0.34575729905698316,-0.31421302472624274,0.05879968221097805,0.0466178401959953
pm_length_seconds,0.1790152678659859,1.0,-0.25149162735904756,-0.28345116309760576,-0.11847972667694662,-0.10279462242825411,-0.18723106773926765,-0.09206338950345463,-0.17149543125265876,0.10430091056065453,0.026794282637209562,0.023853463405736665,0.08202681263728172,0.12150455992902244,,-0.03526342101385634,0.3525140565124228,-0.41224353682849063,0.21058709437786458,0.4088750942186187,0.47293114580627993,-0.00098623908629505,-0.13990643208452255,0.40560904660739877,0.43867146323454936,-0.1748083784200168,,,,-0.2208407696744222,-0.1748083784200168,-0.23149051328236808,-0.08158703705348874,0.17586559585686642,0.16313746670193208
pm_pitch_range_min_freq,-0.06323012112701212,-0.25149162735904756,1.0,0.9330267825285331,0.6370852588891817,0.676685087264935,0.7830887360158431,0.2007829463258792,0.13750937837107163,-0.16268114167303713,-0.01334007883601565,-0.13472461773385086,-0.15741637784483156,-0.2747932390681058,,0.009469487248165062,0.03246269616859273,0.2612115460983595,-0.22375281888003215,-0.17253694547799825,-0.09190508101788253,-0.1596922607292971,-0.028884392487882257,-0.20415335209809576,-0.1342987854817165,0.23672691062074291,,,,0.06648182540531876,0.23672691062074291,0.16349183650741314,0.16356892936962283,-0.2632238366872971,-0.24921583372578723
pm_pitch_range_min_note,-0.0800148629223398,-0.28345116309760576,0.9330267825285331,1.0,0.5911532224003311,0.7166061766865759,0.7323022338741337,0.15478033355173793,0.17137632359704777,-0.16939223515539412,-0.032267252915854555,-0.14569763957975987,-0.1725361838029322,-0.25781155376220427,,-0.0003570110159947404,0.07154073499480917,0.30139951342624977,-0.25181855251454616,-0.20031799209948714,-0.09686824244818279,-0.17093508345846264,-0.02932097610146675,-0.22203129745775912,-0.14089606141504785,0.20573103592781758,,,,0.07240007308687878,0.20573103592781758,0.1597728659742305,0.18360858869651558,-0.3005197655499305,-0.28621367671937875
pm_pitch_range_max_freq,0.036857247310488735,-0.11847972667694662,0.6370852588891817,0.5911532224003311,1.0,0.8513413205363177,0.9581656408265431,0.15184977018057846,-0.2992520100174576,0.3383879652225684,0.017878082311433587,0.08339133500461926,0.19843911793549304,0.08522130508645363,,0.080670235716314,0.05669628556376895,0.2199521167794669,0.4446089054933252,0.24846066187636381,0.10523244411325429,0.26965634262049,-0.00623212798407495,0.2140139496091326,0.06052447257807522,0.08405657300298801,,,,0.013147137104409318,0.08405657300298801,-0.1384108380972957,0.0011077244514476788,0.258201948734904,0.2621379355077594
pm_pitch_range_max_note,0.05934548520998113,-0.10279462242825411,0.676685087264935,0.7166061766865759,0.8513413205363177,1.0,0.814054784376026,0.1321804809478265,-0.42433064920443003,0.4264876187269016,0.012704102685497059,0.12367132798065003,0.27606203831940945,0.2222918042462416,,0.09453326508023892,0.11360813352840107,0.2565644382725269,0.4945466874716885,0.37423596665856296,0.21718099632040397,0.35250169990922753,-0.031922316473275245,0.3442701122529041,0.1649193028159788,0.009363161822781896,,,,0.005452287884047439,0.009363161822781896,-0.3063709604032558,0.09476087267585293,0.35349229689963313,0.3625043671648016
pm_average_pitch_hz,-0.01422947478109121,-0.18723106773926765,0.7830887360158431,0.7323022338741337,0.9581656408265431,0.814054784376026,1.0,0.1686963550380516,-0.12242292140209686,0.17719120851024367,0.0008114789074911504,0.008685883536773353,0.056242247996047975,-0.0748583491016991,,0.0476784260615191,0.04748560076171179,0.2507765205706225,0.21698198843642263,0.061356217652052306,0.009860676324358005,0.10399806662802057,-0.012950357345487563,0.03800957812539958,-0.036379652836982,0.1650930433470568,,,,0.03171633093008845,0.1650930433470568,-0.020809086730442728,0.05352487686672558,0.08146120861880234,0.08931491220711789
pm_average_velocity,0.12286302053360439,-0.09206338950345463,0.2007829463258792,0.15478033355173793,0.15184977018057846,0.1321804809478265,0.1686963550380516,1.0,-0.06061284446805941,0.09217048848136697,0.20067344610351937,0.004422915600048413,0.05917327036828073,-0.11985404842075241,,0.16341407779388425,0.07723156860666437,0.23146612490286664,-0.009472122761101504,-0.13640724009170904,-0.23375767032752454,0.17644108714765727,-0.02988053250550437,-0.17483326730747661,-0.2682212662688224,0.2285331017726314,,,,0.03664164065611314,0.2285331017726314,0.24213747930270899,-0.08449300998973867,-0.014017922086416841,-0.01097268882779505
pm_interval_range_min,-0.20147921871430197,-0.17149543125265876,0.13750937837107163,0.17137632359704777,-0.2992520100174576,-0.42433064920443003,-0.12242292140209686,-0.06061284446805941,1.0,-0.6828314737671325,-0.09531463988981205,-0.421197895961267,-0.5957018232152407,-0.59998023094443,,-0.14392064247366806,-0.012749194714697746,0.05455919822570904,-0.8212515709693,-0.6508610749894063,-0.26581247403664116,-0.7189063737438095,0.003881442214825694,-0.6198845858688239,-0.2592024178415214,0.1811239282857246,,,,0.008787477474715043,0.1811239282857246,0.5267447545931048,0.17556581636112958,-0.9009753537654873,-0.8940930206167876
pm_interval_range_max,0.1426631258048983,0.10430091056065453,-0.16268114167303713,-0.16939223515539412,0.3383879652225684,0.4264876187269016,0.17719120851024367,0.09217048848136697,-0.6828314737671325,1.0,0.05805444720237802,0.39391280284077346,0.5505658670380928,0.5570634639160436,,0.10878829506877222,0.04497224842052703,0.02424541610558294,0.82188660864113,0.5209783146129557,0.2058031606937828,0.6672868538616591,0.0734315291885584,0.5255453917827133,0.1494939277196335,-0.16224980648144466,,,,0.06587340714125542,-0.16224980648144466,-0.511097240093817,-0.040057806221044226,0.8175307002972184,0.8218274209628201
