feature,mean,std,min,max,skewness,kurtosis,n_zeros,n_unique
pm_note_count,16.06578947368421,23.94425011747445,1.0,384.0,8.678619531867673,112.11442702859048,0,42
pm_length_seconds,18.45000301256657,7.183705000481748,1.9555565333333331,38.4,0.44410450393585166,-0.042746710095991514,0,162
pm_pitch_range_min_freq,85.17624112318154,52.57878621196564,27.5,440.0,2.7817040357600002,11.219183170307078,0,33
pm_pitch_range_min_note,38.340225563909776,8.258696172675538,21.0,69.0,0.7747005929409636,0.7394236764533093,0,33
pm_pitch_range_max_freq,161.70006662053936,122.37153491709778,32.70319566257483,1760.0,5.796526010687546,59.65980145134633,0,39
pm_pitch_range_max_note,48.92481203007519,9.195818307934756,24.0,93.0,0.5041571929291149,1.168877946252513,0,39
pm_average_pitch_hz,119.39659672327846,81.9535729059226,32.70319566257483,1155.0,5.569161538676752,54.35873679320222,0,406
pm_average_velocity,76.29218909565465,25.054047951878143,2.0,127.0,0.09751439462186774,-0.6915851968005877,0,416
pm_interval_range_min,-7.648543689320388,5.886637642903314,-24.0,12.0,-0.4611394726464134,0.7955713184988142,32,27
pm_interval_range_max,7.023300970873787,4.0178881119385865,-2.0,24.0,0.08058259388140962,-0.4311035454628791,34,19
pm_energy,14.829005665063928,52.2463536778049,0.027000027000027,975.3599999999998,13.270782866481197,222.19845537364137,0,474
pm_groove,0.5923648101006093,0.6478025583934858,0.0,4.763667133386863,1.7259713893500401,5.135052583510255,51,293
pm_max_polyphony,1.3402255639097744,0.5479273958603759,0.0,4.0,1.6882843458131478,4.256321391870501,1,5
pm_average_polyphony,0.972366951606992,0.5146815464263096,0.0,3.0,0.5621881527407316,0.43464724669793764,1,154
pm_instrument_count,1.0,0.0,1.0,1.0,,,0,1
pm_note_density,0.8882469062230427,1.2749611228598028,0.0749999625000187,20.0,8.138516985705607,100.08988151701527,0,257
pm_bar_count,7.518796992481203,3.732791534050145,1.0,16.0,1.0108007307146074,0.7311586089755737,0,12
pm_tempo_bpm,97.62216843830063,30.39187913413083,50.0,154.99990958338608,0.5474002683242948,-0.8339912977859085,0,18
muspy_pitch_range,10.584586466165414,6.627454398641219,0.0,48.0,0.8527818724500574,1.5961147109995952,45,29
muspy_n_pitches_used,5.652255639097745,3.5198301013058195,1.0,23.0,1.5228852483247923,3.550542388533522,0,22
muspy_n_pitch_classes_used,4.44172932330827,2.1185191897835796,1.0,10.0,0.17385999760022836,-0.3237917907719208,0,10
muspy_polyphony,1.2169763543259882,0.4049244872026444,1.0,2.0351758793969847,1.391237582146626,-0.04195332035862265,0,124
muspy_scale_consistency,0.974493404078016,0.06459962565740346,0.6666666666666666,1.0,-2.619840289341543,5.928032303153049,0,31
muspy_pitch_entropy,2.1185489808707816,0.9287775288848865,-0.0,4.286790198827113,-0.5991314824076083,0.3413286688529209,45,202
muspy_pitch_class_entropy,1.832006768601193,0.8598318305074335,-0.0,3.182005814760214,-1.083805849702943,0.2684486193847464,74,165
muspy_empty_beat_rate,0.13177161005636417,0.22833787035237527,0.0,0.9166666666666666,1.558658821617822,1.1047132571983553,363,75
muspy_groove_consistency,0.9987217255635036,0.0008204922677733122,0.994489247311828,1.0,-2.0740607305666527,6.762308671913887,0,129
muspy_empty_measure_rate,0.13177161005636417,0.22833787035237527,0.0,0.9166666666666666,1.558658821617822,1.1047132571983553,363,75
