feature,RandomForest_importance,GradientBoosting_importance,RandomForest_permutation_importance,RandomForest_permutation_std,GradientBoosting_permutation_importance,GradientBoosting_permutation_std,LinearRegression_permutation_importance,LinearRegression_permutation_std,rfe_rank,rfe_selected
pm_note_count,0.0007711996144559067,0.000734854726746774,0.0010558901006913145,0.00011548199225229446,0.0005648208394970156,3.532567772982808e-05,0.0006191169374343275,0.00014594916830914346,1,True
muspy_pitch_class_entropy,0.0033439084669669656,0.011227918831019397,0.006425356097561785,0.00036794342178860965,0.040262505025509286,0.002435875283211331,1.1782558521871525,0.0510305072743965,1,True
muspy_pitch_range,0.0506472159118167,0.023901315007175468,0.02395127721571655,0.0016177539128578344,0.013333299763848927,0.0007073072403409378,0.20384666488134212,0.00839213633712657,1,True
muspy_n_pitches_used,0.9408182916947214,0.9606797784978919,1.758411928473659,0.07455319609381529,1.5100827279602345,0.06352997320195818,0.028500485521501716,0.001424915686196436,1,True
muspy_n_pitch_classes_used,0.0010714220551897749,0.00045627083764041053,0.00019100649833143636,2.2393869287177486e-05,0.0023055236008291623,0.00025224522657736387,0.018212145575288975,0.001042612553466278,1,True
muspy_polyphony,0.00021648138724260512,0.0005665143220743245,0.00012734986589650886,1.8927971721519046e-05,0.0006833679354570799,0.00010700296631195304,0.03295442733635345,0.0013951993202582522,2,False
pm_interval_range_min,0.00043653082277136473,0.0006911958054425455,0.0004120235875911593,4.418248011970747e-05,0.00024221625107343492,1.6803040663943324e-05,0.001001300259354565,0.00020634336402024523,3,False
pm_length_seconds,0.0002531437443901122,0.00030904399271102395,0.0002434923320195348,3.460135099905561e-05,0.00017991667201817664,1.9138491259784343e-05,0.0005208070683354494,0.00017131572895708053,4,False
pm_note_density,0.000300017195291468,0.000283408813941551,0.00018139856333140302,2.799436080598399e-05,0.00010959228609754845,1.1348494784621146e-05,0.004029792766940909,0.00037197638953877596,5,False
pm_average_pitch_hz,0.00020601972294939517,0.00013512015468155413,0.00010535153675532705,1.962282917591932e-05,7.566322559745541e-05,9.665157632121255e-06,0.0007614891244357436,0.00014606729045922806,6,False
pm_energy,0.00045160258891983337,0.00017577212927698922,0.00041552291828022,7.611421869676574e-05,0.00014717637027074072,2.3614901047010135e-05,0.0055490227695623616,0.00046073022630028755,7,False
muspy_empty_measure_rate,0.00010310055206549527,6.228938102262774e-05,0.00012059978084157929,2.8605038204986085e-05,2.1496965615330766e-05,4.094415367936188e-06,0.00012116954184032691,5.620413696389649e-05,8,False
pm_pitch_range_max_note,4.886309674452957e-05,8.250657959823217e-05,2.132880715255414e-05,4.134120108955538e-06,2.884447520496991e-05,4.283770453248578e-06,0.014759502234850008,0.0012851156441042325,9,False
pm_average_velocity,0.00012979299533120487,0.00010865808729343762,0.00010958681577414309,1.2006128797666697e-05,9.097594887986782e-05,1.0591598377481796e-05,4.413840198158603e-06,1.3697337737621545e-05,10,False
pm_tempo_bpm,0.0002065568215535622,0.00010981242752759929,0.00012963961055679764,2.1844812037778046e-05,2.3574483502231126e-05,4.3620201691338445e-06,0.00020557597487455003,3.787208090185638e-05,11,False
muspy_groove_consistency,0.0003067342732836359,7.338619086834498e-05,0.00022944382950977892,2.4893000524462794e-05,5.848024761007098e-05,5.101946586840414e-06,0.00024214975011070948,7.804128554663303e-05,12,False
pm_average_polyphony,0.00012348410347716847,5.722348366342692e-05,7.882998882220437e-05,1.4906172560016067e-05,3.847682617351689e-05,3.6258697633818225e-06,0.00028263180726986194,0.00010969043077006095,13,False
pm_interval_range_max,7.213708757276038e-05,4.3873292466234036e-05,8.480067888658738e-05,7.04305990957561e-06,1.8789914951888863e-05,1.5356524452632368e-06,0.0009294615940185991,0.00013963170738616864,14,False
pm_groove,0.00014651356269168914,4.961879943476438e-05,0.0001167832084645215,7.34023563261112e-06,3.988961735458263e-05,2.4141413384091107e-06,4.1610275456793744e-05,4.127989520219518e-05,15,False
muspy_scale_consistency,6.674356040847734e-05,3.665043689794974e-05,2.5622274493264374e-05,4.3621192523967935e-06,4.2286618153453136e-05,4.2050413224666755e-06,0.0018067255041579466,0.00023475898039118293,16,False
pm_max_polyphony,1.9976462683182444e-05,2.0743136104870983e-05,2.7765186174222302e-05,6.376382140956793e-06,1.0037885341229735e-05,1.9571166422671757e-06,0.00014570631766923635,6.157483680756456e-05,17,False
pm_pitch_range_min_freq,4.6383322562239085e-05,8.907531655597383e-06,2.3442874867174446e-05,4.223256764652703e-06,3.6270407934413383e-06,6.881671223677489e-07,0.009498887692782888,0.0006064960412969401,18,False
pm_pitch_range_max_freq,4.496703879130324e-05,4.3763956364466394e-05,2.5452040014228848e-05,4.854937201392449e-06,1.7661263943635763e-05,2.5621446327311043e-06,0.013147271476644328,0.0005170578849823743,19,False
pm_bar_count,4.720196840741606e-05,1.2306494284377422e-05,3.5581870285039675e-05,9.031563648979526e-06,6.956231712562655e-06,1.072129028037342e-06,0.00043201113386184267,0.0001618728897552113,20,False
muspy_empty_beat_rate,8.372514323296012e-05,0.00012339834441232173,8.046444790378304e-05,2.0542597034107568e-05,6.552321885404666e-05,1.639693481402857e-05,0.00012116954184032691,5.620413696389649e-05,21,False
pm_pitch_range_min_note,3.798680647877192e-05,5.668739803607415e-06,2.5647745931056676e-05,3.949487987782368e-06,2.64508760315918e-06,4.351420474082275e-07,0.008480995574145167,0.000558842391155216,22,False
pm_instrument_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,False
