feature_1,feature_2,correlation
muspy_empty_beat_rate,muspy_empty_measure_rate,1.0
theory_conjuction_melody_motion,theory_general_tonality,0.9967419506896721
pm_pitch_range_max_freq,pm_average_pitch_hz,0.9581656408265431
pm_note_count,pm_note_density,0.9438735589099463
pm_note_count,pm_energy,0.9365266242537672
pm_pitch_range_min_freq,pm_pitch_range_min_note,0.9330267825285331
muspy_n_pitch_classes_used,muspy_pitch_class_entropy,0.9311055824279004
muspy_polyphony,theory_conjuction_melody_motion,0.9256576217850729
pm_energy,pm_note_density,0.9175762809230632
muspy_polyphony,theory_general_tonality,0.9091113855920846
pm_interval_range_min,theory_conjuction_melody_motion,-0.9009753537654873
muspy_n_pitches_used,muspy_pitch_entropy,0.8945802211771561
pm_interval_range_min,theory_general_tonality,-0.8940930206167876
muspy_pitch_entropy,muspy_pitch_class_entropy,0.8869282022053613
muspy_pitch_entropy,theory_centricity,-0.8849783292366231
pm_pitch_range_max_freq,pm_pitch_range_max_note,0.8513413205363177
muspy_n_pitch_classes_used,muspy_pitch_entropy,0.8467240101957525
muspy_pitch_range,theory_conjuction_melody_motion,0.8256388994957461
pm_interval_range_max,muspy_pitch_range,0.82188660864113
pm_interval_range_max,theory_general_tonality,0.8218274209628201
pm_interval_range_min,muspy_pitch_range,-0.8212515709693
muspy_pitch_range,theory_general_tonality,0.8205372119512152
pm_interval_range_max,theory_conjuction_melody_motion,0.8175307002972184
pm_pitch_range_max_note,pm_average_pitch_hz,0.814054784376026
muspy_n_pitches_used,muspy_n_pitch_classes_used,0.8015303545224988
