feature_1,feature_2,mutual_information
pm_pitch_range_min_freq,pm_pitch_range_min_note,2.7791057388259413
pm_pitch_range_max_freq,pm_pitch_range_max_note,2.706337227256813
muspy_pitch_entropy,muspy_pitch_class_entropy,2.346128947054587
muspy_n_pitches_used,muspy_pitch_entropy,2.1749543029505203
pm_length_seconds,pm_tempo_bpm,1.9957317402621775
theory_conjuction_melody_motion,theory_general_tonality,1.8769059946779656
muspy_n_pitch_classes_used,muspy_pitch_class_entropy,1.8527586861560548
muspy_empty_beat_rate,muspy_empty_measure_rate,1.6847510593617145
pm_pitch_range_max_freq,pm_average_pitch_hz,1.5026596977044964
pm_note_count,pm_note_density,1.4809217131913242
pm_pitch_range_max_note,pm_average_pitch_hz,1.471528459144853
muspy_n_pitches_used,muspy_pitch_class_entropy,1.3753307168964763
pm_length_seconds,pm_bar_count,1.3632162845064926
muspy_n_pitches_used,muspy_n_pitch_classes_used,1.3556649894624258
muspy_n_pitch_classes_used,muspy_pitch_entropy,1.3507333742203351
pm_length_seconds,pm_note_density,1.3147528398564639
pm_pitch_range_min_freq,pm_average_pitch_hz,1.2568033082974792
pm_groove,pm_note_density,1.2394722977065498
pm_pitch_range_min_note,pm_average_pitch_hz,1.2272803479171515
pm_energy,pm_note_density,1.218184475622461
pm_length_seconds,muspy_groove_consistency,1.192535083426257
pm_note_density,muspy_groove_consistency,1.1183093505123614
muspy_pitch_range,muspy_pitch_entropy,1.0695352114066075
pm_note_count,muspy_groove_consistency,1.061881574714013
pm_note_density,pm_tempo_bpm,1.0406969915513922
pm_note_count,pm_energy,1.0333490197408342
pm_note_count,muspy_pitch_entropy,1.0078553151752732
pm_average_velocity,pm_tempo_bpm,1.0031206862441353
pm_note_count,pm_groove,0.9778316315337681
pm_note_count,muspy_pitch_class_entropy,0.95704802464964
muspy_pitch_range,muspy_n_pitches_used,0.9561055042275286
pm_interval_range_min,muspy_pitch_range,0.9388202732307813
pm_groove,muspy_groove_consistency,0.9377627915600204
pm_bar_count,muspy_groove_consistency,0.933169461688486
pm_length_seconds,pm_groove,0.9312291828234045
pm_length_seconds,pm_average_velocity,0.9276136805745856
pm_length_seconds,pm_energy,0.8895020664583204
pm_average_polyphony,muspy_empty_measure_rate,0.8696788871479999
pm_average_polyphony,muspy_empty_beat_rate,0.8696788871479999
pm_interval_range_max,muspy_pitch_range,0.8672556209071249
theory_centricity,theory_limited_macroharmony,0.8605881521223284
theory_centricity,theory_general_tonality,0.8584901700919727
theory_centricity,theory_conjuction_melody_motion,0.8454892867688688
pm_average_polyphony,pm_note_density,0.8431502735935252
pm_tempo_bpm,muspy_groove_consistency,0.8375872527226345
pm_note_count,pm_length_seconds,0.8257567100323144
theory_limited_macroharmony,theory_general_tonality,0.8204601444752013
theory_limited_macroharmony,theory_conjuction_melody_motion,0.8148454522322202
