feature,iqr_outliers,iqr_outlier_pct,zscore_outliers,zscore_outlier_pct
muspy_polyphony,119,22.36842105263158,0,0.0
pm_average_polyphony,99,18.60902255639098,1,0.18796992481203006
muspy_scale_consistency,90,16.917293233082706,22,4.135338345864661
muspy_pitch_class_entropy,74,13.909774436090224,0,0.0
pm_bar_count,65,12.218045112781954,0,0.0
pm_energy,56,10.526315789473683,6,1.1278195488721803
pm_note_count,50,9.398496240601503,6,1.1278195488721803
pm_pitch_range_min_freq,50,9.398496240601503,8,1.5037593984962405
muspy_empty_measure_rate,44,8.270676691729323,1,0.18796992481203006
muspy_empty_beat_rate,44,8.270676691729323,1,0.18796992481203006
pm_note_density,34,6.390977443609022,9,1.6917293233082706
pm_pitch_range_max_freq,33,6.203007518796992,6,1.1278195488721803
muspy_pitch_range,32,6.015037593984962,1,0.18796992481203006
pm_average_pitch_hz,30,5.639097744360902,7,1.3157894736842104
muspy_groove_consistency,28,5.263157894736842,11,2.0676691729323307
muspy_n_pitches_used,25,4.6992481203007515,10,1.8796992481203008
theory_centricity,21,7.954545454545454,14,5.303030303030303
pm_pitch_range_max_note,13,2.443609022556391,4,0.7518796992481203
pm_groove,13,2.524271844660194,7,1.3592233009708738
pm_interval_range_min,10,1.9417475728155338,5,0.9708737864077669
pm_pitch_range_min_note,8,1.5037593984962405,4,0.7518796992481203
pm_max_polyphony,6,1.1278195488721803,7,1.3157894736842104
pm_interval_range_max,1,0.1941747572815534,1,0.1941747572815534
pm_length_seconds,0,0.0,0,0.0
pm_instrument_count,0,0.0,0,0.0
pm_average_velocity,0,0.0,0,0.0
pm_tempo_bpm,0,0.0,0,0.0
muspy_n_pitch_classes_used,0,0.0,0,0.0
muspy_pitch_entropy,0,0.0,0,0.0
theory_limited_macroharmony,0,0.0,0,0.0
theory_conjuction_melody_motion,0,0.0,0,0.0
theory_general_tonality,0,0.0,0,0.0
