feature,rfe_rank,rfe_selected
pm_note_count,1,True
muspy_pitch_class_entropy,1,True
muspy_pitch_range,1,True
muspy_n_pitches_used,1,True
muspy_n_pitch_classes_used,1,True
muspy_polyphony,2,False
pm_interval_range_min,3,False
pm_length_seconds,4,False
pm_note_density,5,False
pm_average_pitch_hz,6,False
pm_energy,7,False
muspy_empty_measure_rate,8,False
pm_pitch_range_max_note,9,False
pm_average_velocity,10,False
pm_tempo_bpm,11,False
muspy_groove_consistency,12,False
pm_average_polyphony,13,False
pm_interval_range_max,14,False
pm_groove,15,False
muspy_scale_consistency,16,False
pm_max_polyphony,17,False
pm_pitch_range_min_freq,18,False
pm_pitch_range_max_freq,19,False
pm_bar_count,20,False
muspy_empty_beat_rate,21,False
pm_pitch_range_min_note,22,False
pm_instrument_count,23,False
