feature,VIF,strategy
pm_pitch_range_min_note,inf,median_imputed
pm_pitch_range_max_note,inf,median_imputed
muspy_empty_beat_rate,inf,median_imputed
muspy_pitch_range,inf,median_imputed
muspy_empty_measure_rate,inf,median_imputed
pm_instrument_count,2935688.9082737244,median_imputed
theory_conjuction_melody_motion,11992.722705655651,median_imputed
theory_general_tonality,10964.183119311525,median_imputed
theory_limited_macroharmony,138.6387451122945,median_imputed
muspy_pitch_entropy,108.00903166865558,median_imputed
muspy_pitch_class_entropy,74.26738731008675,median_imputed
pm_average_pitch_hz,55.821945738908894,median_imputed
pm_pitch_range_max_freq,53.169336356066594,median_imputed
pm_note_count,40.727665365495916,median_imputed
muspy_n_pitch_classes_used,27.47973256231275,median_imputed
theory_centricity,26.65823406765267,median_imputed
pm_energy,24.346916662191635,median_imputed
muspy_n_pitches_used,20.7919378002364,median_imputed
pm_note_density,20.488601611838504,median_imputed
pm_pitch_range_min_freq,13.432275187916673,median_imputed
muspy_polyphony,12.897175855112332,median_imputed
pm_average_polyphony,10.30876659904942,median_imputed
pm_tempo_bpm,7.656452712141582,median_imputed
pm_bar_count,6.262369782722771,median_imputed
pm_length_seconds,6.164011059975262,median_imputed
pm_interval_range_min,3.85695892531547,median_imputed
pm_interval_range_max,3.8091382327188383,median_imputed
pm_max_polyphony,2.7867319565122903,median_imputed
pm_groove,2.026829945707448,median_imputed
muspy_groove_consistency,1.9797857087125528,median_imputed
pm_average_velocity,1.6075866152092,median_imputed
muspy_scale_consistency,1.5146237385633488,median_imputed
