feature,VIF,strategy
pm_pitch_range_min_note,inf,no_missing
pm_pitch_range_max_note,inf,no_missing
muspy_empty_beat_rate,inf,no_missing
muspy_empty_measure_rate,inf,no_missing
muspy_pitch_range,inf,no_missing
pm_instrument_count,2473483.543317841,no_missing
muspy_pitch_entropy,101.55015063354737,no_missing
muspy_pitch_class_entropy,66.97111643157821,no_missing
pm_average_pitch_hz,54.783719859203266,no_missing
pm_pitch_range_max_freq,51.21938167478091,no_missing
pm_note_count,36.507195524121826,no_missing
muspy_n_pitch_classes_used,20.510640455423133,no_missing
pm_energy,20.122320847544206,no_missing
pm_note_density,17.387365927155077,no_missing
muspy_n_pitches_used,16.32469370033762,no_missing
pm_pitch_range_min_freq,12.923335870350586,no_missing
muspy_polyphony,10.06808379191915,no_missing
pm_average_polyphony,8.880061201016513,no_missing
pm_tempo_bpm,7.113730523022067,no_missing
pm_bar_count,6.1749959333208775,no_missing
pm_length_seconds,5.7776650419911215,no_missing
pm_max_polyphony,2.7495058557633203,no_missing
muspy_groove_consistency,1.6619994142247174,no_missing
pm_average_velocity,1.5168774308084547,no_missing
muspy_scale_consistency,1.474278336276702,no_missing
